Product Link,Breadcrumb(Category),Category,Product Name,Pricing,Available Size,Sense Size,Image URL,Description Title,Description,Description(Itemization),Special Function,Rating,Number of Reviews,Recommendation Rate,Fitting Rating,Length Rating,Material Rating,Comfort Rating,KWs
https://shop.adidas.jp/products/IW2733/,戻る / トップ / メンズ / ウェア・服 / トップス / Tシャツ / オリジナルス / アンソニー・エドワーズ 404 Tシャツ,メンズオリジナルス,アンソニー・エドワーズ 404 Tシャツ,"5,170","XS, S, M, L, XL, 2XL, 3XL",,"['https://shop.adidas.jp/photo/IW/IW2733/z-IW2733-on_model-standard_view-rhxrIwBWpv.jpg', 'https://shop.adidas.jp/photo/IW/IW2733/z-IW2733-on_model-back_view-OnVHCqPevx.jpg', 'https://shop.adidas.jp/photo/IW/IW2733/z-IW2733-on_model-walking_view-fNoLCidnaO.jpg', 'https://shop.adidas.jp/photo/IW/IW2733/z-IW2733-3d_torso-front_center_view-ipeM5rHyft.jpg', 'https://shop.adidas.jp/photo/IW/IW2733/z-IW2733-on_model-detail_view_1-MZMHca5Z3E.jpg', 'https://shop.adidas.jp/photo/IW/IW2733/z-IW2733-on_model-detail_view_2-dEZKNDQxyK.jpg']",バスケットボール史上最高の選手の一人を讃えるカジュアルTシャツ。,"このアディダス Tシャツで、自分らしさをスタイリッシュに表現しよう。ハードウッドコートを彷彿とさせるグラフィックは、バスケットボールにおけ　偉大なレジェンドの一人へのオマージュを込めたもの。ソフトなコットンジャージーを使用して、快適さとタイト過ぎずルーズ過ぎないちょうどいいフィット感をバランスよく兼ね備えた、コート外の冒険で活躍する一着。

この製品に使われているコットンはベターコットンを通して供給されている。「マスバランス」と呼ばれる生産物流管理モデルを通じて調達されており、最終製品までの過程を物理的に辿れるわけではない。

詳細はこちら：https://bettercotton.org/who-we-are/our-logo/","レギュラーフィット
リブ仕上げのクルーネック
綿100%（シングルジャージー）
素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品には実際にベターコットンが使用されていない可能性があります。
商品番号：IW2733
色：クラウドホワイト",[],,,,,,,,"ウェア・服, トップス, Tシャツ, オリジナルス, バスケットボール, 半袖, アンソニー・エドワーズ, ベターコットン, バスケットボールウェア・服, JTM49"
https://shop.adidas.jp/products/IU2438,戻る / トップ / メンズ / バスケットボール / ウェア・服 / ボトムス / ハーフパンツ / アディダス セレクトショーツ,メンズバスケットボール,アディダス セレクトショーツ,"5,170","S-7inch丈, M-7inch丈, L-7inch丈, XL-7inch丈, 2XL-7inch丈, 3XL-7inch丈",,"['https://shop.adidas.jp/photo/IU/IU2438/z-IU2438-on_model-standard_view-SA7kbV3776.jpg', 'https://shop.adidas.jp/photo/IU/IU2438/z-IU2438-on_model-back_view-zz6MEpNT12.jpg', 'https://shop.adidas.jp/photo/IU/IU2438/z-IU2438-on_model-walking_view-dsMRmtpPjJ.jpg', 'https://shop.adidas.jp/photo/IU/IU2438/z-IU2438-3d_torso-front_center_view-jhM68aB5Ql.jpg', 'https://shop.adidas.jp/photo/IU/IU2438/z-IU2438-on_model-detail_view_1-RFEDnC4hH2.jpg', 'https://shop.adidas.jp/photo/IU/IU2438/z-IU2438-on_model-detail_view_2-2BsVRmx1o4.jpg']",リサイクル素材で作られた、バスケットボールショーツ。,"このアディダス バスケットボールが贈るセレクトショーツを手に入れて、コートの中と外を縦横無尽に動き回ろう。スポーティーなディテールとライフスタイルラインのファッション性を組み合わせた、シーンを問わずシームレスに活躍する一枚。貴重品を安全にしまえるジップポケット付きだから、ゲームで相手にフェイントをかけ、その後そのまま買い物にひとっ走りすることもできる。プレーヤーの証であるadidas Basketballのロゴと、動きやすいゆとりのあるデザインが特徴。

この製品にはリサイクル素材を100%使用。製造された製品の素材をリユースすることで、ゴミの量、限りある資源への依存、そしてアディダス製品のフットプリントを減らすことにつながる。","ルーズフィット
ドローコード付きの伸縮性ウエスト
ポリエステル100%（モックアイレット）
サイドシームにジップポケット
商品番号：IU2438
色：ブラック",[],,,,,,,,"ウェア・服, ボトムス, ハーフパンツ, バスケットボール, シームレス, リサイクル素材一部使用, バスケットボールウェア・服, KMZ94"
https://shop.adidas.jp/products/IX6437,戻る / トップ / ユニセックス / ウェア・服 / アウター / ジャケット / オリジナルス / ベッケンバウアー / ベッケンバウアー トラックジャケット SNIDEL,オリジナルス,ベッケンバウアー トラックジャケット SNIDEL,"13,200","3XS, 2XS, XS, S, M, L, XL, 2XL, 3XL",4.0,"['https://shop.adidas.jp/photo/IX/IX6437/z-IX6437-3d_torso-front_center_view-ZnRFTSrlJC.jpg', 'https://shop.adidas.jp/photo/IX/IX6437/z-IX6437-01-iH9jQLL4YF.jpg', 'https://shop.adidas.jp/photo/IX/IX6437/z-IX6437-02-kiwvF94uLW.jpg', 'https://shop.adidas.jp/photo/IX/IX6437/z-IX6437-on_model-standard_unisex_pair_shot-YHlDNZDDBu.jpg', 'https://shop.adidas.jp/photo/IX/IX6437/z-IX6437-on_model-standard_unisex_back_view-d6zUibhi5P.jpg', 'https://shop.adidas.jp/photo/IX/IX6437/z-IX6437-on_model-standard_view-gb2y2tcNQT.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg']",リサイクル素材を一部使用した、アーカイブ風トラックジャケット。,"真のクラシックアイテムであるこのアディダス トラックジャケットを身に纏おう。立ち襟、フルジップ、トリコット素材の、アイコニックなトラックスーツらしいスタイル。クラシックなフィット感の快適さを考えた設計。袖にスリーストライプスを、胸にトレフォイルをそれぞれ配したスポーティーなデザイン。仕立てには、様々なサイズ、ジェンダー、体型を考慮したオールジェンダー設計を可能にするシステム、UNITEFITを採用している。

プラスチックゴミ ゼロを目指すアディダスの取り組みの一つをカタチにした、リサイクル素材を70%以上使用したアイテム。","レギュラーフィット
ダブルフルジップの前開き / スタンドカラー
ポリエステル100％（トリコット）
両サイドにジップポケット
リブ仕上げの袖口と裾
商品番号：IX6437
色：アンビエントスカイ/ホワイト
生産国：Cambodia",[],4.6,44,93%,3.8 / 5,3.7 / 5,4.4 / 5,4.6 / 5,"ウェア・服, アウター, ジャケット, ジャージ, オリジナルス, ベッケンバウアー, リサイクル素材一部使用, HBN85"
https://shop.adidas.jp/products/IN6234/,戻る / トップ / メンズ / ウェア・服 / トップス / Tシャツ / スポーツウェア / シティエスケープ トーン カモグラフィック 半袖Tシャツ,メンズスポーツウェア,シティエスケープ トーン カモグラフィック 半袖Tシャツ,"3,850","XS, S, M, L, XL, 2XL, 3XL",,"['https://shop.adidas.jp/photo/IN/IN6234/z-IN6234-on_model-standard_view-ShNXkQKKKJ.jpg', 'https://shop.adidas.jp/photo/IN/IN6234/z-IN6234-on_model-back_view-YDr3WsoFic.jpg', 'https://shop.adidas.jp/photo/IN/IN6234/z-IN6234-on_model-walking_view-KxPT4oEmTM.jpg', 'https://shop.adidas.jp/photo/IN/IN6234/z-IN6234-3d_torso-front_center_view-tbgW4BiXNS.jpg', 'https://shop.adidas.jp/photo/IN/IN6234/z-IN6234-on_model-detail_view_1-axUOGgjsdz.jpg', 'https://shop.adidas.jp/photo/IN/IN6234/z-IN6234-on_model-detail_view_2-uKgRt6Iihv.jpg']",大きなバッジ オブ スポーツロゴが目を引く、汎用性に優れたコットンTシャツ。,"アディダスから、カモ柄グラフィックのTシャツが登場。アディダス バッジ オブ スポーツのロゴをフレッシュにアップデートしたこのTシャツは、カジュアルに着られる快適なコットン素材を使用し、シーンを選ばない汎用性に優れたスタイルに仕上げている。

この製品に使われているコットンは、ベターコットンを通して供給されている。ベターコットンの調達は、「マスバランス」と呼ばれる生産物流管理モデルを通しており、最終製品までの過程を物理的に辿れるわけではない。

詳細はこちら：https://bettercotton.org/who-we-are/our-logo/","レギュラーフィット
クルーネック
綿100%（シングルジャージー）
アディダスのバッジ オブ スポーツをスクリーンプリント
素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品には実際にベターコットンが使用されていない可能性があります。
商品番号：IN6234
色：オフホワイト
生産国：Cambodia",[],,,,,,,,"ウェア・服, トップス, Tシャツ, スポーツウェア, 半袖, ベターコットン, KME51"
https://shop.adidas.jp/products/IW8920/,戻る / トップ / メンズ / ウェア・服 / アウター / ジャケット / オリジナルス / Fear of God Athletics / Fear of God Athletics ヘザー トラックジャケット,メンズオリジナルス,FEAR OF GOD ATHLETICS ヘザー トラックジャケット,"36,300",,,"['https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-flat-front_center_view-qaaDbDLqhH.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-on_model-heromrktng_view_1-u4Y0pNGFUG.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-on_model-heromrktng_view_3-lyzivbPMvk.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-on_model-heromrktng_view_5-O9FQOVzNRU.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-on_model-heromrktng_view_6-vY9AeSB1tk.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-on_model-heromrktng_view_7-9X9y1U6FCA.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-on_model-heromrktng_view_8-W22WM3yMno.jpg', 'https://shop.adidas.jp/photo/IW/IW8920/z-IW8920-flat-back_center_view-UlYQKsBZUM.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg']",FEAR OF GOD ATHLETICSからリリースされた、ヘザーフリースジャケット。,465 gのヘビーコットンフリースで、品質の良さが感じられる快適な着心地にアップグレードした、Fear of God Athletics トラックジャケット。フルジップジャケットのボディ、ラグラン袖共にボリューム感をプラスしたデザイン。通気孔のある4方向に伸縮する素材の裏地を付けたサイドシームポケット、リブニットの裾、モックネック、袖には伸縮性のあるバインディングテープで縁取りするなど、機能的なディテールが随所に光る。背面のadidasとFear of Godのロゴ、フロントのadidasロゴ、バックネックの黒いバーラベルなど、それぞれスエード調の生地であしらったブランディングがアクセントになっている。,"オーバーサイズフィット
綿83% / ポリエステル17%（ヘビーウェイトフリース［裏起毛］）
フロントにスエード調adidasロゴ
背面にスエード調のadidasとFear of Godのロゴ
前にフルジップ
モックネック、袖口に伸縮バインディングテープで縁取り、リブニットの裾
通気孔のある4ウェイストレッチ生地の裏地付きサイドシームポケット
ドロップラグランショルダー
バックネックにスエード調ブラックバーラベル
商品番号：IW8920
色：オートミールヘザー",[],,,,,,,,"ウェア・服, アウター, ジャケット, ジャージ, オリジナルス, バスケットボール, FEAR OF GOD ATHLETICS, バスケットボールウェア・服, JNW87"
https://shop.adidas.jp/products/IN6472,戻る / トップ / メンズ / ウェア・服 / トップス / Tシャツ / スポーツウェア / カモ バッジ オブ スポーツ グラフィック半袖Tシャツ,メンズスポーツウェア,カモ バッジ オブ スポーツ グラフィック半袖Tシャツ,"3,300","XS, S, M, L, XL, 2XL, 3XL",,"['https://shop.adidas.jp/photo/IN/IN6472/z-IN6472-on_model-standard_view-5IIQ26HHEA.jpg', 'https://shop.adidas.jp/photo/IN/IN6472/z-IN6472-on_model-back_view-AoCfFao5FQ.jpg', 'https://shop.adidas.jp/photo/IN/IN6472/z-IN6472-on_model-walking_view-QSFqghApCf.jpg', 'https://shop.adidas.jp/photo/IN/IN6472/z-IN6472-3d_torso-front_center_view-qSqeIOlSBq.jpg', 'https://shop.adidas.jp/photo/IN/IN6472/z-IN6472-on_model-detail_view_1-XXNVX7Jffq.jpg', 'https://shop.adidas.jp/photo/IN/IN6472/z-IN6472-on_model-detail_view_2-rzGHxV1m1Z.jpg']",アディダスのバッジ オブ スポーツがさりげなく存在感を放つ、コットンTシャツ。,"カモ柄の背景を大胆にあしらった、アディダス グラフィックTシャツ。大きなバッジ オブ スポーツロゴがスポーティーな印象を与えるこのTシャツは、オフの日や冒険に出かけるときにぴったり。カーゴパンツと合わせてハイキングに出かけたり、夜の外出にはダークデニムでクールなスタイルに。どんなシーンでも、ソフトなコットンジャージー素材が快適な着心地をもたらす。

この製品に使われているコットンは、ベターコットンを通して供給されている。ベターコットンの調達は、「マスバランス」と呼ばれる生産物流管理モデルを通しており、最終製品までの過程を物理的に辿れるわけではない。

詳細はこちら：https://bettercotton.org/who-we-are/our-logo/","レギュラーフィット
クルーネック
綿100%（シングルジャージー）
大きなアディダス バッジ オブ スポーツのフラットインクグラフィック
素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品には実際にベターコットンが使用されていない可能性があります。
商品番号：IN6472
色：ホワイト",[],,,,,,,,"ウェア・服, トップス, Tシャツ, スポーツウェア, 半袖, ステルス, ベターコットン, KNC76"
https://shop.adidas.jp/products/IW8923/,戻る / トップ / メンズ / ウェア・服 / ボトムス / ジャージ / オリジナルス / Fear of God Athletics / Fear of God Athletics ヘザー ストライプ スウェットパンツ,メンズオリジナルス,FEAR OF GOD ATHLETICS ヘザー ストライプ スウェットパンツ,"30,800",,,"['https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-flat-front_center_view-OYPboymUAm.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-on_model-heromrktng_view_1-kqfOg9b3gX.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-on_model-heromrktng_view_3-SiACZ9TPXj.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-on_model-heromrktng_view_5-dRjshWFeDS.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-on_model-heromrktng_view_6-dmLhf1J9a7.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-on_model-heromrktng_view_7-pMqEDrnMam.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-on_model-heromrktng_view_8-unwEslmjt4.jpg', 'https://shop.adidas.jp/photo/IW/IW8923/z-IW8923-flat-back_center_view-w0ZOBdxnsE.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg']",FEAR OF GOD ATHLETICSのヘザーフリーススウェットパンツ。,465 gのヘビーコットンフリースで、品質の良さが感じられる快適なはき心地にアップグレードした、Fear of God Athletics スウェットパンツ。アディダスのシグネチャーであるスリーストライプスをサイドに走らせた、ゆったりしたシルエットが特徴。ドローコードが付いた伸縮性のあるウエストバンド、サイドシームポケットに通気孔のある4方向に伸縮する生地の裏地、裾は伸縮性のあるバインディングで縁取りするなど、機能的なディテールを随所に施している。脚のadidasロゴ、フロント中央にスエード調の生地であしらったブラックバーラベルがアクセント。,"リラックスフィット
綿83% / ポリエステル17%（ヘビーウェイトフリース［裏起毛］）
脚にスエード調adidasロゴ
サイドパネルにスエード調の生地のスリーストライプス
ドローコード付き伸縮性ウエストバンド
通気孔のある4ウェイストレッチ生地の裏地付きサイドシームポケット
商品番号：IW8923
色：オートミールヘザー",[],,,,,,,,"ウェア・服, ボトムス, ジャージ, パンツ, オリジナルス, バスケットボール, FEAR OF GOD ATHLETICS, バスケットボールウェア・服, JNW89"
https://shop.adidas.jp/products/JI7632/,戻る / トップ / メンズ / ランニング / ウェア・服 / トップス / Tシャツ / WFL Event SS T M,メンズランニング,WFL EVENT SS T M,"4,950","S, M, L, XL, 2XL",,"['https://shop.adidas.jp/photo/JI/JI7632/z-JI7632-3d_torso-front_center_view-qNJxRfIRpa.jpg', 'https://shop.adidas.jp/photo/JI/JI7632/z-JI7632-3d_torso-back_center_view-KKXl2cBoJ5.jpg', 'https://shop.adidas.jp/photo/JI/JI7632/z-JI7632-3d_torso-detail_view_1-l2gHNRuDvx.jpg', 'https://shop.adidas.jp/photo/JI/JI7632/z-JI7632-3d_torso-detail_view_2-PfzLVwgtj1.jpg', 'https://shop.adidas.jp/photo/JI/JI7632/z-JI7632-3d_torso-detail_view_3-SFYWLGmf3l.jpg']",,,,[],5,1,100%,3 / 5,4 / 5,4 / 5,4 / 5,"ウェア・服, トップス, Tシャツ, ランニング, 半袖, リサイクル素材一部使用, ランニングウェア・服, KPN23"
https://shop.adidas.jp/products/IX6440,戻る / トップ / ユニセックス / ウェア・服 / ボトムス / ジャージ / オリジナルス / ベッケンバウアー / ベッケンバウアー トラックパンツ SNIDEL,オリジナルス,ベッケンバウアー トラックパンツ SNIDEL,"11,000","3XS, 2XS, XS, S, M, L, XL, 2XL, 3XL",4.0,"['https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-3d_torso-front_center_view-lTaJqPF6r0.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-01-Cpjh8ITnL1.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-02-4TRjaQfnbx.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-on_model-standard_unisex_pair_shot-DJpP4qEECy.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-on_model-standard_unisex_back_view-QZXpenRJDv.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-on_model-standard_view-Svds6jnXmM.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-on_model-back_view-tpU4UxYDH2.jpg', 'https://shop.adidas.jp/photo/IX/IX6440/z-IX6440-on_model-walking_view-JOwkoxQ9EQ.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg', 'https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg']",リサイクル素材を一部使用した、快適なトラックパンツ。,"このトラックパンツをはいて、快適さとスタイルのいいとこ取りをしよう。シグネチャーのスリーストライプスとトレフォイルをあしらった、レトロなデザイン。クラシックなシルエットと伸縮性ウエストに備えたドローコードが、快適でしなやかなはき心地をもたらす。前と後ろに便利なポケットを備えているから、貴重品を肌身離さず持ち歩ける。このトラックパンツは、様々なサイズ、ジェンダー、体型を考慮して、すべてのジェンダーに合うように構築したシステム、UNITEFITを採用してデザインされている。

プラスチックゴミ ゼロを目指すアディダスの取り組みの一つをカタチにした、リサイクル素材を70%以上使用したアイテム。","レギュラーフィット
ドローコードが付いた伸縮性のウエスト
ポリエステル100％（トリコット）
両サイドにジップポケット
背面にポケット
商品番号：IX6440
色：アンビエントスカイ/ホワイト
生産国：Cambodia",[],4.5,28,93%,3.6 / 5,3.8 / 5,4.3 / 5,4.5 / 5,"ウェア・服, ボトムス, ジャージ, パンツ, オリジナルス, ベッケンバウアー, リサイクル素材一部使用, HBO00"
https://shop.adidas.jp/products/IR5828,戻る / トップ / メンズ / ウェア・服 / トップス / Tシャツ / スポーツウェア / カモ バッジ オブ スポーツ グラフィック半袖Tシャツ,メンズスポーツウェア,カモ バッジ オブ スポーツ グラフィック半袖Tシャツ,"3,300","XS, S, M, L, XL, 2XL, 3XL",,"['https://shop.adidas.jp/photo/IR/IR5828/z-IR5828-on_model-standard_view-m3nw9Inwwq.jpg', 'https://shop.adidas.jp/photo/IR/IR5828/z-IR5828-on_model-back_view-bOeJAZFLh5.jpg', 'https://shop.adidas.jp/photo/IR/IR5828/z-IR5828-on_model-walking_view-JLuE3PAHxo.jpg', 'https://shop.adidas.jp/photo/IR/IR5828/z-IR5828-3d_torso-front_center_view-HXXr1RxcGK.jpg', 'https://shop.adidas.jp/photo/IR/IR5828/z-IR5828-on_model-detail_view_1-2dliWlg70O.jpg', 'https://shop.adidas.jp/photo/IR/IR5828/z-IR5828-on_model-detail_view_2-pljxWrQ59A.jpg']",アディダスのバッジ オブ スポーツがさりげなく存在感を放つ、コットンTシャツ。,"カモ柄の背景を大胆にあしらった、アディダス グラフィックTシャツ。大きなバッジ オブ スポーツロゴがスポーティーな印象を与えるこのTシャツは、オフの日や冒険に出かけるときにぴったり。カーゴパンツと合わせてハイキングに出かけたり、夜の外出にはダークデニムでクールなスタイルに。どんなシーンでも、ソフトなコットンジャージー素材が快適な着心地をもたらす。

この製品に使われているコットンは、ベターコットンを通して供給されている。ベターコットンの調達は、「マスバランス」と呼ばれる生産物流管理モデルを通しており、最終製品までの過程を物理的に辿れるわけではない。

詳細はこちら：https://bettercotton.org/who-we-are/our-logo/","レギュラーフィット
クルーネック
綿100%（シングルジャージー）
大きなアディダス バッジ オブ スポーツのフラットインクグラフィック
素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品には実際にベターコットンが使用されていない可能性があります。
商品番号：IR5828
色：ブラック",[],,,,,,,,"ウェア・服, トップス, Tシャツ, スポーツウェア, 半袖, ステルス, ベターコットン, KNC76"
